start station id,Station Name,start station latitude,start station longitude,Number of Starts 2018,Percentage of Total Starts 2018,end station id,end station latitude,end station longitude,Number of Ends 2018,Percentage of Total Ends 2018
3147.0,E 85 St & 3 Ave,40.77801203,-73.95407149,2682.0,5.86,3147,40.77801203,-73.95407149,1825,2.37
369.0,Washington Pl & 6 Ave,40.73224119,-74.00026394,2680.0,5.85,369,40.73224119,-74.00026394,2542,3.31
423.0,W 54 St & 9 Ave,40.76584941,-73.98690506,2677.0,5.84,423,40.76584941,-73.98690506,2290,2.98
469.0,Broadway & W 53 St,40.76344058,-73.98268129,2636.0,5.76,469,40.76344058,-73.98268129,2188,2.85
355.0,Bayard St & Baxter St,40.71602118,-73.99974372,2630.0,5.74,355,40.71602118,-73.99974372,2388,3.11
3161.0,W 76 St & Columbus Ave,40.78018397,-73.97728533,2582.0,5.64,3161,40.78018397,-73.97728533,1554,2.02
3223.0,E 55 St & 3 Ave,40.75899656,-73.96865398,2567.0,5.6,3223,40.75899656,-73.96865398,2195,2.85
500.0,Broadway & W 51 St,40.76228826,-73.98336183,2564.0,5.6,500,40.76228826,-73.98336183,2219,2.89
3160.0,Central Park West & W 76 St,40.77896784,-73.97374737,2527.0,5.52,3160,40.77896784,-73.97374737,1868,2.43
328.0,Watts St & Greenwich St,40.72405549,-74.00965965,2524.0,5.51,328,40.72405549,-74.00965965,2353,3.06
460.0,S 4 St & Wythe Ave,40.71285887,-73.96590294,2514.0,5.49,460,40.71285887,-73.96590294,2240,2.91
3295.0,Central Park W & W 96 St,40.791270000000004,-73.964839,2507.0,5.47,3295,40.791270000000004,-73.964839,1483,1.93
502.0,Henry St & Grand St,40.714215,-73.981346,2498.0,5.45,502,40.714215,-73.981346,2324,3.02
3143.0,5 Ave & E 78 St,40.77632142,-73.96427393,2490.0,5.44,3143,40.77632142,-73.96427393,1940,2.52
3090.0,N 8 St & Driggs Ave,40.71774592,-73.95600096,2486.0,5.43,3090,40.71774592,-73.95600096,2168,2.82
2000.0,Front St & Washington St,40.70255088,-73.98940236,2460.0,5.37,2000,40.70255088,-73.98940236,1973,2.57
309.0,Murray St & West St,40.7149787,-74.013012,2456.0,5.36,309,40.7149787,-74.013012,2296,2.99
3175.0,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,2452.0,5.35,3175,40.77748046,-73.98288594,1987,2.58
247.0,Perry St & Bleecker St,40.73535398,-74.00483091,2439.0,5.33,247,40.73535398,-74.00483091,2238,2.91
2012.0,E 27 St & 1 Ave,40.739445,-73.97680600000001,2437.0,5.32,2012,40.739445,-73.97680600000001,2172,2.82
533.0,Broadway & W 38 St,40.75299641,-73.98721619,2433.0,5.31,533,40.75299641,-73.98721619,2072,2.69
2002.0,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,2415.0,5.27,2002,40.716887,-73.96319799999999,2216,2.88
279.0,Peck Slip & Front St,40.707873,-74.00166999999999,2408.0,5.26,279,40.707873,-74.00166999999999,2344,3.05
3170.0,W 84 St & Columbus Ave,40.78499979,-73.97283406,2375.0,5.19,3170,40.78499979,-73.97283406,1330,1.73
311.0,Norfolk St & Broome St,40.7172274,-73.98802084,2322.0,5.07,311,40.7172274,-73.98802084,2159,2.81
440.0,E 45 St & 3 Ave,40.75255434,-73.97282625,2311.0,5.05,440,40.75255434,-73.97282625,2021,2.63
3171.0,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,2302.0,5.03,3171,40.78524672,-73.97667321,1718,2.23
217.0,Old Fulton St,40.70277159,-73.99383605,2290.0,5.0,217,40.70277159,-73.99383605,2126,2.76
455.0,1 Ave & E 44 St,40.75001986,-73.96905301,2276.0,4.97,455,40.75001986,-73.96905301,2103,2.73
296.0,Division St & Bowery,40.71413089,-73.99704679999999,2248.0,4.91,296,40.71413089,-73.99704679999999,2123,2.76
422.0,W 59 St & 10 Ave,40.770513,-73.988038,2228.0,4.86,422,40.770513,-73.988038,1955,2.54
522.0,E 51 St & Lexington Ave,40.75714758,-73.97207836,2224.0,4.86,522,40.75714758,-73.97207836,1986,2.58
3112.0,Milton St & Franklin St,40.72906,-73.95779,2206.0,4.82,3112,40.72906,-73.95779,1939,2.52
350.0,Clinton St & Grand St,40.71559509,-73.9870295,2196.0,4.79,350,40.71559509,-73.9870295,2023,2.63
357.0,E 11 St & Broadway,40.73261787,-73.99158043,2180.0,4.76,357,40.73261787,-73.99158043,1982,2.58
391.0,Clark St & Henry St,40.69760127,-73.99344559,2172.0,4.74,391,40.69760127,-73.99344559,1086,1.41
3226.0,W 82 St & Central Park West,40.78275,-73.97137,2165.0,4.73,3226,40.78275,-73.97137,1376,1.79
456.0,E 53 St & Madison Ave,40.75971079999999,-73.97402311,2162.0,4.72,456,40.75971079999999,-73.97402311,1913,2.49
239.0,Willoughby St & Fleet St,40.69196566,-73.9813018,2120.0,4.63,239,40.69196566,-73.9813018,1666,2.17
513.0,W 56 St & 10 Ave,40.768254,-73.988639,2118.0,4.62,513,40.768254,-73.988639,1919,2.5
150.0,E 2 St & Avenue C,40.720873600000004,-73.98085795,2113.0,4.61,150,40.720873600000004,-73.98085795,2016,2.62
3173.0,Riverside Blvd & W 67 St,40.77750703,-73.98888588,2111.0,4.61,3173,40.77750703,-73.98888588,1721,2.24
3283.0,W 89 St & Columbus Ave,40.7882213,-73.97041561,2106.0,4.6,3283,40.7882213,-73.97041561,1111,1.44
79.0,Franklin St & W Broadway,40.71911552,-74.00666661,2092.0,4.57,79,40.71911552,-74.00666661,1963,2.55
323.0,Lawrence St & Willoughby St,40.69236178,-73.98631746,2078.0,4.54,323,40.69236178,-73.98631746,1279,1.66
473.0,Rivington St & Chrystie St,40.72110063,-73.99192540000001,2074.0,4.53,473,40.72110063,-73.99192540000001,1854,2.41
